노선번호,지점번호,도명,시/군,읍/면,동/리,구간,이정(km),연장(km),차로수,시간,계,승용차,버스,소형화물,중형화물,대형화물
중부선,3534,경기,하남,,상산곡,산곡JCT-하남IC,324.9~330.1,5.2,8,,"142,920","99,399","3,102","31,565","7,517","1,337"
중부선,3535,경기,하남,,천현,하남IC-하남JCT,330.1~332.5,2.4,8,,"148,538","102,914","3,217","33,006","7,955","1,446"
제2중부선,3701,경기,이천,마장,표교,마장JCT-경기광주JCT,0~17.6,17.6,4,,"51,382","34,746",936,"8,946","5,793",961
제2중부선,3702,경기,광주,초월,지월,경기광주JCT-산곡JCT,17.6~31.1,13.5,4,,"71,110","49,948","1,369","11,150","7,449","1,194"
평택제천선,4001,경기,평택,청북,고잔,서평택JCT-청북IC,0~2.8,2.8,6,,"95,989","53,792","1,533","17,908","18,326","4,430"
평택제천선,4002,경기,평택,청북,삼계,청북IC-평택JCT,2.8~8,5.2,6,,"101,141","56,556","1,616","18,976","19,342","4,651"
평택제천선,04002-1,경기,평택,오성,양교,평택JCT-평택고덕IC,8~13.7,5.7,6,,"76,838","40,981","2,225","16,150","13,458","4,024"
평택제천선,04002-2,경기,평택,고덕,궁,평택고덕IC-송탄IC,13.7~20.9,7.2,6,,"69,975","37,368","2,080","14,651","12,244","3,632"
평택제천선,4003,경기,안성,원곡,내가천,송탄IC-안성JCT,20.9~23.7,2.8,6,,"75,486","40,272","2,102","16,264","12,983","3,865"
평택제천선,4004,경기,안성,원곡,외가천,안성JCT-서안성IC,23.7~25.7,2,6,,"76,503","45,549",512,"14,268","13,288","2,886"
평택제천선,4005,경기,안성,원곡,반제,서안성IC-남안성IC,25.7~35.9,10.2,4,,"61,846","36,834",415,"11,515","10,748","2,334"
평택제천선,4006,경기,안성,미양,보체,남안성IC-북진천IC,35.9~55.8,19.9,4,,"53,112","31,563",353,"9,933","9,259","2,004"
평택제천선,4007,충북,진천,광혜원,죽현,북진천IC-대소JCT,55.8~57.9,2.1,4,,"43,814","26,016",288,"8,192","7,656","1,662"
평택제천선,4008,충북,음성,대소,미곡,대소JCT-금왕꽃동네IC,57.9~65.1,7.2,4,,"45,604","26,965",477,"6,702","7,728","3,732"
평택제천선,4009,충북,음성,금왕,상봉,금왕꽃동네IC-음성IC,65.1~72.4,7.3,4,,"39,718","23,533",409,"5,820","6,704","3,252"
평택제천선,4010,충북,음성,생극,육령,음성IC-서충주IC,72.4~77.8,5.4,4,,"35,846","21,193",368,"5,242","6,076","2,967"
평택제천선,4011,충북,충주,신니,모남,서충주IC-충주JCT,77.8~85.5,7.7,4,,"31,993","18,833",330,"4,668","5,449","2,713"
평택제천선,4012,충북,충주,노은,문성,충주JCT-노은JCT,85.5~90.9,5.4,4,,"26,668","16,149",327,"3,574","4,126","2,492"
평택제천선,4013,충북,충주,노은,신효,노은JCT-동충주IC,90.9~103.2,12.3,4,,"27,757","17,330",415,"3,186","3,704","3,122"
평택제천선,4014,충북,충주,엄정,율능,동충주IC-제천JCT,103.2~126.9,23.7,4,,"22,205","13,923",337,"2,548","2,938","2,459"
중부내륙선,4501,경남,창원시,마산회원,호계,내서JCT-칠원JCT,0~3.5,3.5,4,,"23,641","15,242",444,"4,121","3,221",613
중부내륙선,04501-1,경남,함안,칠서,부곡,칠원JCT-칠서IC,3.5~8.7,5.2,4,,"58,073","29,315",977,"9,519","11,995","6,267"
중부내륙선,4502,경남,함안,칠서,천계,칠서IC-남지IC,8.7~17.5,8.8,4,,"52,776","26,401",863,"8,597","11,057","5,858"
중부내륙선,4503,경남,창녕,남지,남지,남지IC-영산IC,17.5~24.4,6.9,4,,"51,075","25,456",829,"8,307","10,797","5,686"
중부내륙선,4504,경남,창녕,계성,봉산,영산IC-창녕IC,24.4~36,11.6,4,,"51,789","25,948",843,"8,426","10,906","5,666"
중부내륙선,4505,경남,창녕,창녕,직교,창녕IC-현풍JCT,36~52.4,16.4,4,,"51,824","25,933",835,"8,432","10,947","5,677"
중부내륙선,4506,대구,달성,현풍,지동,현풍JCT-고령JCT,52.4~63.1,10.7,4,,"32,313","15,083",485,"5,192","7,685","3,868"
중부내륙선,04506-1,경북,고령,성산,강정,고령JCT-남성주IC,63.1~73.7,10.6,4,,"31,563","13,343",418,"5,033","8,687","4,082"
중부내륙선,04506-2,경북,성주,용암,본리,남성주IC-성주IC,73.7~85.6,11.9,4,,"30,024","12,608",394,"4,773","8,327","3,922"
중부내륙선,04506-3,경북,성주,대가,옥성,성주IC-남김천IC,85.6~102.3,16.7,4,,"28,466","11,876",369,"4,517","7,954","3,750"
중부내륙선,04506-4,경북,김천,남,월명,남김천IC-김천JCT,102.3~114.4,12.1,4,,"28,115","11,645",368,"4,437","7,898","3,767"
중부내륙선,4507,경북,김천,아포,국사,김천JCT-선산IC,114.4~123.4,9,4,,"53,380","28,993",883,"8,451","11,376","3,677"
중부내륙선,04507-1,경북,구미,선산,봉곡,선산IC-낙동JCT,123.4~139,15.6,4,,"55,338","29,989",911,"8,748","11,835","3,855"
중부내륙선,4508,경북,상주,낙동,유곡,낙동JCT-상주IC,139~146.4,7.4,4,,"55,306","32,783","1,272","7,775","10,673","2,803"
중부내륙선,04508-1,경북,상주,,헌신,상주IC-북상주IC,146.4~159.4,13,4,,"53,603","31,772","1,223","7,519","10,366","2,723"
중부내륙선,04508-2,경북,상주,공검,역곡,북상주IC-점촌함창IC,159.4~166.9,7.5,4,,"53,235","31,492","1,212","7,511","10,310","2,710"
중부내륙선,04508-3,경북,상주,함창,나한,점촌함창IC-문경새재IC,166.9~180.9,14,4,,"54,911","32,397","1,244","7,756","10,699","2,815"
중부내륙선,04508-4,경북,문경,마성,남호,문경새재IC-연풍IC,180.9~194.9,14,4,,"54,023","31,929","1,214","7,612","10,503","2,765"
중부내륙선,04508-5,충북,괴산,연풍,적석,연풍IC-괴산IC,194.9~209.1,14.2,4,,"53,393","31,594","1,190","7,524","10,363","2,722"
중부내륙선,04509-1,충북,괴산,장연,조곡,괴산IC-충주IC,209.1~224.6,15.5,4,,"52,558","31,161","1,170","7,412","10,148","2,667"
중부내륙선,4509,충북,충주,이류,완오,충주IC-북충주IC,224.6~233.8,9.2,4,,"55,166","32,675","1,219","7,792","10,676","2,804"
중부내륙선,4510,충북,충주,노은,수룡,북충주IC-충주JCT,233.8~239,5.2,4,,"59,324","35,347","1,315","8,373","11,302","2,987"
중부내륙선,04510-1,충북,충주,노은,연하,충주JCT-감곡IC,239~251.1,12.1,4,,"72,227","52,818","1,488","9,393","6,636","1,892"
중부내륙선,4511,충북,음성,감곡,상우,감곡IC-여주JCT,251.1~265.6,14.5,4,,"78,351","57,538","1,608","10,180","7,025","2,000"
중부내륙선,4512,경기,여주,가남,본두,여주JCT-남여주IC,265.6~268,2.4,4,,"20,430","15,118",209,"3,010","1,796",297
중부내륙선,04512-1,경기,여주,능서,구양,남여주IC-서여주IC,268~273.8,5.8,4,,"15,449","11,402",155,"2,294","1,366",232
중부내륙선,4513,경기,여주,능서,구양,서여주IC-북여주IC,273.8~283.2,9.4,4,,"15,470","11,370",158,"2,312","1,391",239
중부내륙선,4514,경기,양평,강상,세월,북여주IC-남양평하이패스IC,283.2~296.7,13.5,4,,"11,739","8,691",120,"1,736","1,021",171
중부내륙선,04514-1,경기,양평,옥천,아신,남양평하이패스IC-양평IC,296.7~301.7,5,4,,"8,016","5,979",81,"1,177",671,108
영동선,5002,인천,,남동,서창,서창JCT-월곶JCT,0~6,6,6,,"145,465","96,475","1,325","28,044","16,006","3,615"
영동선,5003,경기,시흥,,월곶,월곶JCT-군자JCT,6~8,2,6,,"161,233","111,617","1,278","28,882","15,207","4,249"
영동선,05003-1,경기,시흥,,거모,군자JCT-서안산IC,8~12.5,4.5,6,,"97,292","69,443",659,"16,375","8,071","2,744"
영동선,5004,경기,안산,단원,선부,서안산IC-안산IC,12.5~15.9,3.4,6,,"133,353","95,562",888,"22,234","10,950","3,719"
영동선,5005,경기,안산,상록,양상,안산IC-안산JCT,15.9~18,2.1,9,,"142,997","102,320",958,"23,861","11,868","3,990"
영동선,5006,경기,안산,상록,부곡,안산JCT-둔대JCT,18~22.7,4.7,6,,"144,118","103,854","1,116","23,992","11,157","3,999"
영동선,05006-1,경기,군포,,둔대,둔대JCT-군포IC,22.7~24.4,1.7,6,,"156,903","113,560","1,381","26,148","11,415","4,399"
영동선,5007,경기,군포,,대야미,군포IC-동군포IC,24.4~26,1.6,6,,"152,430","110,357","1,335","25,400","11,066","4,272"
