번호,생태통로명,주소,차선_수,관리기관,생태통로유형,설치기관,위도,경도
1134,,전라남도 구례군 신학리,왕복2차선,전라남도 구례군,육교형,전라남도,35.31814225241983,127.42619991408273
1135,,전라남도 구례군 산동면 둔사리,왕복2차선,전라남도 구례군,육교형,전라남도,35.305144444444444,127.3951138888889
1137,,전라남도 보성군 율어면 선암리,왕복2차선,전라남도 보성군,육교형,전라남도 보성군,34.846405555555556,127.22584444444445
1138,무안광주선 16.94k,전라남도 함평군 학교면 마산리,왕복4차선,한국도로공사,터널형,한국도로공사,35.06678333333333,126.58746666666666
1139,,전라남도 영광군 영광읍 학정리,왕복4차선,전라남도 영광군,육교형,전라남도 영광군,35.26508333333334,126.51013888888889
1142,,전라남도 장성군 삼계면 수옥리,왕복2차선,전라남도,육교형,국토교통부,35.282725,126.69340833333334
1143,,경상북도 문경시 가은읍 작천리,왕복2차선,경상북도 문경시,육교형,경상북도 문경시,36.65083333333333,128.03693611111112
1144,,경상북도 김천시 구성면 마산리,왕복2차선,경상북도 종합건설사업소,육교형,경상북도,36.06736314869205,127.95483755721096
1145,밤티재,경상북도 상주시 화북면 중벌리,왕복2차선,경상북도 상주시,육교형,경상북도 상주시,36.58583333333333,127.88166666666666
1146,도래기재 생태통로,경상북도 봉화군 춘양면 우구치리,왕복2차선,경상북도 종합건설사업소 북부지소,육교형,경상북도,37.038976642400556,128.79734812895106
1147,,경상북도 경주시 현곡면 나원리,왕복2차선,경상북도 종합건설사업소,육교형,경상북도,35.88527777777778,129.20555555555555
1148,여우목재 생태통로,경상북도 예천군 상리면 명봉리,왕복2차선,경상북도 종합건설사업소 북부지소,육교형,경상북도,36.773997834497784,128.36475826289487
1149,,경상북도 군위군 산성면 운산리,왕복2차선,경상북도 군위군,육교형,경상북도 군위군,36.111221723162245,128.67807935714626
1154,,경상남도 창원시 진해구 원포동,왕복2차선,경상남도 창원시,터널형,경상남도 창원시,35.10066944444445,128.69634722222222
1155,대원로 66번길,경상남도 창원시 의창구 두대동,왕복4차선,경상남도 창원시,육교형,경상남도 창원시,35.23671388888889,128.65533333333335
1156,두산볼보로,경상남도 창원시 성산구 귀현동,왕복6차선,경상남도 창원시,육교형,경상남도 창원시,35.19030833333333,128.62275277777778
1157,안민생태교,경상남도 창원시 성산구 천선동,왕복2차선,경상남도 창원시,육교형,경상남도 창원시,35.16861111111111,128.69972222222222
1158,생태교량,경상남도 창원시 마산합포구 현동,왕복6차선,경상남도 창원시,육교형,경상남도 창원시,35.148716666666665,128.55680833333335
1159,,경상남도 밀양시 단장면 구천리,왕복2차선,경상남도 밀양시,육교형,경상남도 밀양시,35.55715,128.93941944444444
